Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product
ybaN	BW25113_RS02420	486338	486715	DUF454 domain-containing inner membrane protein YbaN
mutL	BW25113_RS21670	4387229	4389076	DNA mismatch repair protein MutL
RS26035	BW25113_RS26035	1665258	1665377	hypothetical protein
fklB	BW25113_RS21860	4418752	4419372	peptidyl-prolyl <i>cis-trans</i> isomerase FklB
cnoX	BW25113_RS02540	512881	513735	chaperedoxin
atpA	BW25113_RS19410	3911676	3913217	ATP synthase F<sub>1</sub> complex subunit &alpha;
ymcE	BW25113_RS05150	1047303	1047533	protein YmcE
kdgK	BW25113_RS18280	3672779	3673708	2-dehydro-3-deoxygluconokinase
yahH	BW25113_RS01660	335504	335800	putative uncharacterized protein YahH
yhfU	BW25113_RS17505	3500707	3501060	DUF2620 domain-containing protein YhfU
selA	BW25113_RS18645	3753218	3754609	selenocysteine synthase
phnM	BW25113_RS21270	4305899	4307035	RPnTP hydrolase
RS18065	BW25113_RS18065	3626212	3627818	YhiJ/YhiL family protein
ygjJ	BW25113_RS15990	3221160	3222230	protein YgjJ
lsrG	BW25113_RS07955	1601256	1601546	(4<i>S</i>)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase
eutD	BW25113_RS12815	2565848	2566864	phosphate acetyltransferase EutD
rrf	BW25113_RS13520	2719430	2719545	5S ribosomal RNA
cas1	BW25113_RS14335	2872214	2873131	multifunctional nuclease Cas1
RS03880	BW25113_RS03880	776825	776900	tRNA-Lys
galU	BW25113_RS06445	1286913	1287821	UTP&mdash;glucose-1-phosphate uridylyltransferase
glcB	BW25113_RS15455	3114993	3117164	malate synthase G
mrdB	BW25113_RS03295	660657	661769	peptidoglycan glycosyltransferase MrdB
moaE	BW25113_RS04080	814751	815203	molybdopterin synthase catalytic subunit
ompA	BW25113_RS04960	1014469	1015509	outer membrane protein A
nemA	BW25113_RS08635	1720916	1722013	<i>N</i>-ethylmaleimide reductase
ynaJ	BW25113_RS06985	1391622	1391879	DUF2534 domain-containing protein YnaJ
sulA	BW25113_RS04970	1015866	1016375	cell division inhibitor SulA
ilvM	BW25113_RS19575	3945561	3945824	acetolactate synthase II subunit IlvM
yhiD	BW25113_RS18180	3648615	3649262	inner membrane protein YhiD
dcm	BW25113_RS10245	2024380	2025798	DNA-cytosine methyltransferase
yfbN	BW25113_RS11875	2381189	2381905	uncharacterized protein YfbN
yafX	BW25113_RS01255	260459	260917	CP4-6 prophage; protein YafX
ygcP	BW25113_RS14400	2887555	2888130	putative anti-terminator regulatory protein
RS26030	BW25113_RS26030	4618398	4618565	hypothetical protein
recR	BW25113_RS02440	489861	490466	recombination mediator protein RecR
insH6	BW25113_RS10415	2059786	2060802	CP4-44 prophage; IS<i>5</i> transposase and trans-activator
pepP	BW25113_RS15120	3046874	3048199	Xaa-Pro aminopeptidase
frlA	BW25113_RS17470	3493218	3494606	fructoselysine/psicoselysine transporter
glgA	BW25113_RS17760	3559960	3561393	glycogen synthase
alsE	BW25113_RS21220	4297600	4298295	D-allulose-6-phosphate 3-epimerase
yrbG	BW25113_RS16565	3333634	3334611	putative transport protein YrbG
argE	BW25113_RS20535	4143624	4144775	acetylornithine deacetylase
hyaA	BW25113_RS05045	1027595	1028713	hydrogenase 1 small subunit
ybaM	BW25113_RS02410	485566	485727	DUF2496 domain-containing protein YbaM
tsaD	BW25113_RS15915	3202889	3203902	N<sup>6</sup>-L-threonylcarbamoyladenine synthase, TsaD subunit
dhaM	BW25113_RS06235	1243152	1244570	dihydroxyacetone kinase subunit M
cysJ	BW25113_RS14380	2883458	2885257	sulfite reductase, flavoprotein subunit
xthA	BW25113_RS09150	1826685	1827491	exodeoxyribonuclease III
mdtE	BW25113_RS18210	3652592	3653749	multidrug efflux pump membrane fusion protein MdtE
yghW	BW25113_RS15575	3139809	3140096	DUF2623 domain-containing protein YghW
ybjJ	BW25113_RS04385	881587	882795	inner membrane protein YbjJ
glgC	BW25113_RS17765	3561393	3562688	glucose-1-phosphate adenylyltransferase
sdaA	BW25113_RS09490	1891189	1892553	L-serine deaminase I
rbsB	BW25113_RS19495	3929638	3930528	ribose ABC transporter periplasmic binding protein
paaE	BW25113_RS07305	1450687	1451757	phenylacetyl-CoA 1,2-epoxidase, reductase subunit
torS	BW25113_RS05165	1048890	1051634	sensor histidine kinase TorS
yebW	BW25113_RS09625	1916378	1916569	DUF1482 domain-containing protein YebW
zraS	BW25113_RS20770	4191854	4193251	sensor histidine kinase ZraS
cas2	BW25113_RS14330	2871928	2872212	CRISPR-associated endoribonuclease Cas2
lipA	BW25113_RS03260	654707	655672	lipoyl synthase
mntR	BW25113_RS04245	848639	849106	DNA-binding transcriptional dual regulator MntR
yoaC	BW25113_RS09470	1888390	1888689	DUF1889 domain-containing protein YoaC
metC	BW25113_RS15615	3145595	3146782	cystathionine &beta;-lyase / L-cysteine desulfhydrase / alanine racemase
yfeX	BW25113_RS12680	2543005	2543904	porphyrinogen peroxidase
wzxE	BW25113_RS19690	3969638	3970888	lipid III<sub>ECA</sub> flippase
thiI	BW25113_RS02190	437005	438453	tRNA uridine 4-sulfurtransferase
bglJ	BW25113_RS22730	4593977	4594654	DNA-binding transcriptional regulator BglJ
ynaM	BW25113_RS25575	1428550	1428663	Rac prophage; protein YnaM
yphB	BW25113_RS13265	2667175	2668047	putative aldose 1-epimerase YphB
astB	BW25113_RS09130	1821173	1822516	<i>N</i>-succinylarginine dihydrolase
coaA	BW25113_RS20620	4164004	4164954	pantothenate kinase
yfjD	BW25113_RS13635	2742133	2743419	UPF0053 family inner membrane protein YfjD
insJK	BW25113_RS25300	3714040	3715409	IS150 protein InsAB
satP	BW25113_RS00055	9928	10494	acetate/succinate:H<sup>+</sup> symporter
yhbW	BW25113_RS16380	3296807	3297814	putative luciferase-like monooxygenase YhbW
yedL	BW25113_RS10110	2004081	2004560	putative acetyltransferase YedL
ybfQ	BW25113_RS03645	731901	732134	ISAs1 family transposase
rimM	BW25113_RS13615	2738729	2739277	ribosome maturation factor RimM
hyaB	BW25113_RS05050	1028710	1030503	hydrogenase 1 large subunit
iscR	BW25113_RS13200	2655002	2655490	DNA-binding transcriptional dual regulator IscR
ilvC	BW25113_RS19600	3951330	3952805	ketol-acid reductoisomerase (NADP<sup>+</sup>)
RS01100	BW25113_RS01100	235233	235589	hypothetical protein
RS05355	BW25113_RS05355	1090961	1091302	ACP S-malonyltransferase
gntP	BW25113_RS22480	4539770	4541113	fructuronate transporter
cbl	BW25113_RS10375	2053445	2054395	DNA-binding transcriptional activator Cbl
fecR	BW25113_RS22285	4506581	4507534	ferric citrate regulator FecR
yeeZ	BW25113_RS10535	2081785	2082609	putative epimerase YeeZ
cmk	BW25113_RS04720	956657	957340	cytidylate kinase
proP	BW25113_RS21345	4320319	4321821	osmolyte:H<sup>+</sup> symporter ProP
yciO	BW25113_RS06600	1318355	1318975	putative RNA-binding protein YciO
aspC	BW25113_RS04810	979975	981165	aspartate aminotransferase
RS25790	BW25113_RS25790	3953372	3953820	type II toxin-antitoxin system PemK/MazF family toxin
iraP	BW25113_RS01980	396842	397102	anti-adaptor protein IraP
RS07710	BW25113_RS07710	1538641	1539971	leucine-rich repeat domain-containing protein
glgS	BW25113_RS15825	3185098	3185298	surface composition regulator
yahM	BW25113_RS01685	341115	341360	uncharacterized protein YahM
rfaH	BW25113_RS19935	4017693	4018181	transcription antiterminator RfaH
tnpA	BW25113_RS23770	1497400	1497906	IS200/IS605 family transposase
higB	BW25113_RS16010	3227500	3227814	ribosome-dependent mRNA interferase toxin HigB
yjgH	BW25113_RS22060	4462631	4463026	RutC family protein YjgH
yiaK	BW25113_RS18560	3736093	3737091	2,3-diketo-L-gulonate reductase
ydhK	BW25113_RS08610	1716378	1718390	putative transporter YdhK
adhP	BW25113_RS07750	1547085	1548095	ethanol dehydrogenase / alcohol dehydrogenase
pdeD	BW25113_RS09495	1892684	1894282	putative cyclic di-GMP phosphodiesterase PdeD
ycjX	BW25113_RS06920	1378374	1379771	DUF463 domain-containing protein YcjX
dinD	BW25113_RS18925	3811120	3811944	DNA damage-inducible protein D
potE	BW25113_RS03575	712402	713721	putrescine transporter PotE
ydjZ	BW25113_RS09165	1829065	1829772	TVP38/TMEM64 family protein
RS22750	BW25113_RS22750	4596017	4596103	tRNA-Leu
yhgF	BW25113_RS17655	3530744	3533065	RNA-binding protein YhgF
araE	BW25113_RS14780	2974123	2975541	arabinose:H<sup>+</sup> symporter
yfaQ	BW25113_RS11625	2321627	2323276	tandem DUF2300 domain-containing protein YfaQ
gloC	BW25113_RS04805	979106	979753	hydroxyacylglutathione hydrolase GloC
rsgA	BW25113_RS21625	4380274	4381326	ribosome small subunit-dependent GTPase A
hypD	BW25113_RS14205	2845495	2846616	Fe-(CN)<sub>2</sub>CO cofactor assembly scaffold protein HypD
yhiJ	BW25113_RS18060	3624328	3625950	DUF4049 domain-containing protein YhiJ
RS17000	BW25113_RS17000	3420580	3422121	16S ribosomal RNA
frdD	BW25113_RS21575	4368824	4369183	fumarate reductase membrane protein FrdD
tehA	BW25113_RS07495	1494830	1495822	tellurite resistance protein
yjfP	BW25113_RS21770	4406769	4407518	carboxylesterase
paaA	BW25113_RS07285	1448184	1449113	phenylacetyl-CoA 1,2-epoxidase, monooxygenase subunit
def	BW25113_RS17040	3427049	3427558	peptide deformylase
yffN	BW25113_RS12750	2554984	2555352	CPZ-55 prophage; uncharacterized protein YffN
mscM	BW25113_RS21615	4375864	4379187	miniconductance mechanosensitive channel MscM
pspF	BW25113_RS06830	1361192	1362169	DNA-binding transcriptional dual regulator PspF
napC	BW25113_RS11490	2291136	2291738	periplasmic nitrate reductase cytochrome c protein
gntR	BW25113_RS17800	3571091	3572086	DNA-binding transcriptional repressor GntR
yeeJ	BW25113_RS10335	2038419	2045495	inverse autotransporter adhesin
ispU	BW25113_RS00870	191393	192151	<i>ditrans,polycis</i>-undecaprenyl-diphosphate synthase [(2<i>E</i>,6<i>E</i>)-farnesyl-diphosphate specific]
bglG	BW25113_RS19355	3899091	3899927	transcriptional antiterminator BglG
fdoI	BW25113_RS20200	4074585	4075220	formate dehydrogenase O subunit &gamma;
appA	BW25113_RS05090	1036073	1037371	periplasmic phosphoanhydride phosphatase/multiple inositol-polyphosphate phosphatase
insI1	BW25113_RS01300	266314	267465	IS30 transposase
aes	BW25113_RS02460	494470	495429	acetylesterase
ybjL	BW25113_RS04395	883590	885275	putative transport protein YbjL
yobH	BW25113_RS09570	1903182	1903421	uncharacterized protein YobH
ydfV	BW25113_RS23835	1640154	1640459	Qin prophage; protein YdfV
fabI	BW25113_RS06745	1344508	1345296	enoyl-[acyl-carrier-protein] reductase
msbA	BW25113_RS04740	962077	963825	ATP-binding lipopolysaccharide transport protein
fhuA	BW25113_RS00755	163971	166214	ferrichrome outer membrane transporter/phage receptor
alaC	BW25113_RS12415	2490536	2491774	glutamate&mdash;pyruvate aminotransferase AlaC
ydcY	BW25113_RS07595	1511905	1512138	DUF2526 domain-containing protein YdcY
ylaC	BW25113_RS02365	474237	474707	putative inner membrane protein
yegL	BW25113_RS10825	2145950	2146609	IPR002035 domain-containing protein YegL
tamB	BW25113_RS21935	4433929	4437708	translocation and assembly module subunit TamB
yphH	BW25113_RS13295	2676222	2677415	putative DNA-binding transcriptional regulator, NAGC-like
plaR	BW25113_RS18555	3735044	3735892	DNA-binding transcriptional repressor PlaR
yihN	BW25113_RS20105	4055607	4056872	MFS transporter
ccmB	BW25113_RS11480	2289841	2290503	cytochrome <i>c</i> maturation protein B
yqeG	BW25113_RS14800	2979206	2980435	putative transporter YqeG
ffs	BW25113_RS23035	471912	472008	signal recognition particle sRNA small type
recD	BW25113_RS14660	2943994	2945820	exodeoxyribonuclease V subunit RecD
lon	BW25113_RS02275	454344	456698	Lon protease
yfeN	BW25113_RS12560	2518486	2519250	putative outer membrane porin YfeN
tauD	BW25113_RS01900	383251	384102	taurine dioxygenase
sucD	BW25113_RS03775	759636	760505	succinyl-CoA synthetase subunit &alpha;
RS20640	BW25113_RS20640	4165601	4165675	tRNA-Gly
speF	BW25113_RS03580	713718	715916	inducible ornithine decarboxylase
gpmA	BW25113_RS03920	782299	783051	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
gnsA	BW25113_RS05155	1047523	1047696	putative phosphatidylethanolamine synthesis regulator GnsA
dinG	BW25113_RS04150	828526	830676	ATP-dependent DNA helicase DinG
secA	BW25113_RS00490	104766	107471	protein translocation ATPase
htpX	BW25113_RS09585	1905952	1906833	protease HtpX
nfeF	BW25113_RS15945	3209086	3209850	NADPH-dependent ferric-chelate reductase
gltL	BW25113_RS03385	679986	680711	glutamate/aspartate ABC transporter ATP binding subunit
tcdA	BW25113_RS14625	2938395	2939201	tRNA threonylcarbamoyladenosine dehydratase
yiaT	BW25113_RS18605	3744488	3745228	outer membrane protein YiaT
RS14845	BW25113_RS14845	2987298	2987774	lytic transglycosylase domain-containing protein
nirB	BW25113_RS17445	3487370	3489913	nitrite reductase (NADH) large subunit
metN	BW25113_RS01000	218101	219132	L-methionine/D-methionine ABC transporter ATP binding subunit
dcyD	BW25113_RS10045	1991975	1992961	D-cysteine desulfhydrase
yahI	BW25113_RS01665	335876	336826	carbamate kinase-like protein YahI
cobS	BW25113_RS10400	2057960	2058703	cobalamin 5'-phosphate synthase
fliO	BW25113_RS10180	2014985	2015350	flagellar biosynthesis protein FliO
yqeJ	BW25113_RS14815	2982663	2983145	protein YqeJ
yceD	BW25113_RS05665	1142250	1142771	DUF177 domain-containing protein YceD
yfgO	BW25113_RS13005	2608179	2609240	putative transporter YfgO
ssuA	BW25113_RS04855	991441	992400	aliphatic sulfonate ABC transporter periplasmic binding protein
dxr	BW25113_RS00865	190008	191204	1-deoxy-D-xylulose 5-phosphate reductoisomerase
pliG	BW25113_RS06130	1222527	1222928	inhibitor of g-type lysozyme
arfB	BW25113_RS00960	211320	211742	peptidyl-tRNA hydrolase, ribosome rescue factor
folC	BW25113_RS12090	2425153	2426421	bifunctional folylpolyglutamate synthetase / dihydrofolate synthetase
yggI	BW25113_RS15290	3083114	3083611	protein YggI
yadN	BW25113_RS00705	152786	153370	putative fimbrial protein YadN
greB	BW25113_RS17650	3530171	3530647	transcription elongation factor GreB
ydcK	BW25113_RS07490	1493726	1494706	putative acyltransferase YdcK
pdeR	BW25113_RS06725	1339014	1340999	cyclic di-GMP phosphodiesterase PdeR
viaA	BW25113_RS19465	3921512	3922963	protein ViaA
intS	BW25113_RS12255	2460024	2461181	CPS-53 (KpLE1) prophage; prophage CPS-53 integrase
yhfT	BW25113_RS17500	3499391	3500695	uncharacterized protein YhfT
truA	BW25113_RS12105	2428303	2429115	tRNA pseudouridine<sup>38-40</sup> synthase
ycgX	BW25113_RS06030	1208159	1208563	DUF1398 domain-containing protein YcgX
pyrF	BW25113_RS06700	1336178	1336915	orotidine-5'-phosphate decarboxylase
bioF	BW25113_RS04030	805837	806991	8-amino-7-oxononanoate synthase
yafZ	BW25113_RS01280	262895	263716	CP4-6 prophage; DUF932 domain-containing protein YafZ
gltI	BW25113_RS03400	682295	683203	glutamate/aspartate ABC transporter periplasmic binding protein
RS10890	BW25113_RS10890	2163174	2163650	DeoR/GlpR transcriptional regulator
fimZ	BW25113_RS02745	559304	559936	LuxR family transcriptional regulator FimZ
uspF	BW25113_RS07220	1429442	1429876	universal stress protein F
mdtD	BW25113_RS10845	2154945	2156360	putative multidrug efflux pump MdtD
gor	BW25113_RS18125	3639659	3641011	glutathione reductase (NADPH)
yhcG	BW25113_RS16695	3361186	3362313	DUF1016 domain-containing protein YhcG
sfmD	BW25113_RS02730	555153	557756	putative fimbrial usher protein SfmD
yqjD	BW25113_RS16090	3242734	3243039	ribosome- and membrane-associated DUF883 domain-containing protein YqjD
yegX	BW25113_RS10965	2176312	2177130	putative glycosyl hydrolase YegX
fumB	BW25113_RS21410	4335497	4337143	fumarase B
msrQ	BW25113_RS10300	2033964	2034599	membrane-bound flavocytochrome MsrQ
bcsB	BW25113_RS18310	3683628	3685967	cellulose synthase periplasmic subunit
mreD	BW25113_RS16835	3391746	3392234	cell shape determining protein MreD
cspB	BW25113_RS08165	1635596	1635811	Qin prophage; cold shock-like protein CspB
hyuA	BW25113_RS14940	3003387	3004772	phenylhydantoinase
wcaC	BW25113_RS10740	2124334	2125551	colanic acid biosynthesis galactosyltransferase WcaC
ygcE	BW25113_RS14435	2895255	2896733	putative sugar kinase YgcE
rutE	BW25113_RS05245	1065821	1066411	probable malonic semialdehyde reductase
yeiS	BW25113_RS11190	2227079	2227318	DUF2542 domain-containing protein YeiS
melA	BW25113_RS21395	4331728	4333083	&alpha;-galactosidase
yqjE	BW25113_RS16095	3243042	3243446	inner membrane protein YqjE
insL3	BW25113_RS12490	2507810	2508922	putative IS186/IS421 transposase
ribC	BW25113_RS08700	1736858	1737499	riboflavin synthase
yiaY	BW25113_RS18635	3750036	3751187	L-threonine dehydrogenase
rpsT	BW25113_RS00110	20815	21078	30S ribosomal protein S20
yjdN	BW25113_RS21325	4315115	4315558	PF06983 family protein YjdN
fadJ	BW25113_RS12215	2450494	2452638	multifunctional 3-hydroxyacyl-CoA dehydrogenase/3-hydroxyacyl-CoA epimerase/enoyl-CoA hydratase FadJ
tcyN	BW25113_RS10035	1990543	1991295	cystine ABC transporter ATP binding subunit
zntR	BW25113_RS17070	3432064	3432489	DNA-binding transcriptional activator ZntR
fliF	BW25113_RS10135	2006710	2008368	flagellar basal-body MS-ring and collar protein
folE	BW25113_RS11235	2236463	2237131	GTP cyclohydrolase 1
yraQ	BW25113_RS16335	3290457	3291497	permease family protein YraQ
fiu	BW25113_RS04180	834705	836987	iron catecholate outer membrane transporter Fiu
csrD	BW25113_RS16855	3394751	3396691	regulator of CsrB and CsrC decay
bcsF	BW25113_RS18335	3691386	3691577	putative cellulose biosynthesis protein BcsF
fliP	BW25113_RS10185	2015350	2016087	flagellar biosynthesis protein FliP
mdtG	BW25113_RS05490	1109720	1110946	efflux pump MdtG
recC	BW25113_RS14675	2952419	2955787	exodeoxyribonuclease V subunit RecC
oppB	BW25113_RS06485	1297156	1298076	murein tripeptide ABC transporter / oligopeptide ABC transporter inner membrane subunit OppB
mog	BW25113_RS00050	9306	9893	molybdopterin adenylyltransferase
dnaQ	BW25113_RS01080	232554	233285	DNA polymerase III subunit &epsilon;
ycfL	BW25113_RS05745	1157703	1158080	DUF1425 domain-containing protein YcfL
yigE	BW25113_RS19805	3993652	3994416	DUF2233 domain-containing protein YigE
nadA	BW25113_RS03890	777541	778584	quinolinate synthase
glyS	BW25113_RS18470	3715688	3717757	glycine&mdash;tRNA ligase
fabY	BW25113_RS20175	4070857	4071798	putative fatty acid biosynthesis enzyme FabY
lapB	BW25113_RS06695	1334815	1335984	lipopolysaccharide assembly protein B
yjtD	BW25113_RS22935	4630759	4631445	putative tRNA/rRNA methyltransferase YjtD
yfjP	BW25113_RS13730	2761069	2761932	CP4-57 prophage; putative GTP-binding protein YfjP
ydgJ	BW25113_RS08495	1697525	1698565	putative oxidoreductase YdgJ
lptG	BW25113_RS22125	4477135	4478217	lipopolysaccharide transport system protein LptG
frvB	BW25113_RS20240	4084275	4085726	putative PTS enzyme IIBC component FrvB
RS14020	BW25113_RS14020	2811832	2811908	tRNA-Arg
proY	BW25113_RS02080	416442	417815	putative transporter ProY
galM	BW25113_RS03925	783253	784293	galactose-1-epimerase
yrhD	BW25113_RS25760	3577764	3577919	uncharacterized protein YrhD
acpS	BW25113_RS13375	2693977	2694357	holo-[acyl-carrier-protein] synthase
minE	BW25113_RS06110	1219735	1220001	Z-ring positioning protein MinE
rplL	BW25113_RS20680	4170488	4170853	50S ribosomal subunit protein L12
ybdM	BW25113_RS03130	630203	630832	ParB-like nuclease domain-containing protein YbdM
yagB	BW25113_RS01365	276096	276446	CP4-6 prophage; orphan antitoxin YagB
pppA	BW25113_RS15435	3106902	3107711	prepilin peptidase
